title,description,audience_level,talk_format,tags
Detecting offensive messages using Deep Learning: A micro-service based approach,"This talk focuses on :

- The shortcomings / common pitfalls of current approaches in terms of:
  - Functionality
  - Scalibility
- Handling the ambiguities in defining offensive content
- Using a Deep Learning based approach to detect offensive content
- Production-izing the solution
",All,Talk (30 minutes),"python, deep learning, machine learning, data science, devops, neural networks, microservice, containers, Web programming including frameworks (Django / Flask / Pylons etc.), Machine learning and data science, Fintech"
Djangoだってカンバンつくれるもん(Django Channels + Vue),"Django Channels 2.1系とVue.js + Vuexを使用して複数ブラウザでリアルタイムに同期するいわゆるカンバンアプリケーションを作成した際の流れを振り返りながらChannelsの紹介や、Vue.jsとの組み合わせの実践的な内容をコードを含めて紹介します。

* Django Channelsの概要
* Django Channelsの基本概念
    - asgi
    - routing
    - consumer
* 本番でのアプリケーションサーバ選定(not uWSGI, use daphne)
* Vue.js + VuexでのWebsocket利用方法(vue-native-websocket)
* vue-native-websocketを踏まえた実践的なConsumerの実装方法
* pytestでConsumerのテストをする方法

",Beginner,Talk (45 minutes),"Django, Python, websocket, Vuejs, Vuex"
DjangoではじめるPyCharm実践入門,"PythonのWebフレームワークといえばDjangoが挙げられます。またPythonのIDEといえばPyCharmです。

Pythonの開発をサポートするエディタや統合開発環境はさまざまですが、PyCharmはその中でも使いやすいツールの一つです。
Python開発者にとって幅広い必須となるツールを提供し、生産的なPython開発とWeb開発のための便利な環境を作り出します。

すでにVimやEmacs, VSCodeなどのツールに慣れていると新しいツールを使うのが億劫になったり、
PyCharmが提供してくる機能の多さにはじめはなにをしたらいいのかわからなくなることがあるかもしれません。
しかし使っていくと手放せないツールになっていきます。

ここではDjangoを題材にして、そんなPyCharmの便利なポイントや使い方を紹介します。

## 取り上げる題材

- インテリジェントなコード補完
- デバッグ機能
- リモート連携 (SSH, Vagrant, Docker)
- データベース連携
- バージョン管理システムとの連携
- JavaScriptおよびその他の言語
- etc...

## 対象者
- PyCharmを使ってみたいがどうやって使っていったらいいかわからない人
- 普段からPyCharmを使っているが、もっと使いこなしたい人
- 他に使い慣れているツールがあるが、PyCharmもおさえておきたい人
",All,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Best practices, Programming tools"
Django REST Framework におけるAPI実装プラクティス,"Django REST Frameworkの公式ドキュメントは、非常にわかりやすくまとまっていますが、実際に業務で使おうとすると考えないといけないことはまだまだあります。1例を次に示します。

* 一般ユーザーにAPIを公開する場合、大量のAPIリクエストを送るユーザーがいたらどうすればいいか. 真面目に全部答えていると1人のクライアントだけでサーバーを落とすことも難しくないケースもあります
* 違和感のないページネーションはどのように実現するか
* ソーシャル認証や権限管理は、APIではどのように実装すればいいか

こういったドキュメントには詳しく書かれていない実装プラクティスや注意点を解説していこうと思います。本セッションで扱うテーマは次のとおりです。

* APIにおける認証と権限管理
* バージョニング
* ページング (カーソルページネーション)
* 公開APIのリクエスト制限
* Error時の扱い
* Filtering や Ordering
* APIドキュメンテーション
",Intermediate,Talk (45 minutes),"Django, DjangoRESTFramework, Web"
Django を Zappaで構築してServerless Python のベストプラクティスを探る,"## 概要
開発したアプリケーションをいかに素早くユーザーに届けるか、ということを考えたときに、今考えられるアーキテクチャの有力な選択肢の一つがサーバーレスです。
Python の Webフレームワークとサーバーレスアーキテクチャの組み合わせにおいては、  Zappa (https://github.com/Miserlou/Zappa) ほど多機能で柔軟に利用できるサーバーレスのフレームワークはありません。Zappaが何をやっているかを、Zappaで何ができるのかを紐解き、Zappa + Django や、 Zappa + Flask などの事例をもとに、これまでのWeb開発がどう変わるのか、どういう場面で有効活用できるか、サーバーレスは今後どうなっていくのか、などを話します。

## コンテンツ予定
- サーバーレスについて
- Zappaは内部で何をやっているのか
- Zappaで出来ることはなにがあるか
- Zappa と Pythonフレームワークの組み合わせによって、これまでとどう変わるのか
- サーバーレスの今後の展望",Intermediate,Talk (30 minutes),"Django, Flask, Best practice, FIntech, Infra, Serverless, AWS, lambda"
Djangoアプリケーションにおけるトイル撲滅戦記,"1. 前史
    - トイル撲滅前のDjangoアプリケーションについての紹介

2. 運用における問題点
    - トイル撲滅前の運用における問題点についての紹介

3. SREとは
    - SREについての紹介
    - Site Reliability向上におけるアプローチの紹介

4. トイル撲滅戦略
    - 具体的な技術的アプローチについての紹介

5. 効果
    - トイル撲滅による効果の紹介

6. まとめ

関連書籍
---
[Site Reliability Engineering](https://landing.google.com/sre/book/index.html)",All,Talk (45 minutes),"Python, Django, AWS, GitLab, Docker, SRE"
From Data to Web Application: Anime Character Image Recognition with Transfer Learning,"Deep learning is a booming machine-learning technique which we often read in a lot of articles nowadays. Deep learning sounds like an intimidating concept for a lot of people, but everyone believes that deep learning is a cutting-edge tool to solve a lot of problems. In this talk, we will see how Python and various open-source tools are very easy to use and very powerful for solving deep learning problems. For the study case, we will have a 30-minute journey in revisiting image recognition problem with anime characters.

I will briefly explain how traditional machine learning works with TensorFlow and introduces some alternatives tools out there. After that, we will see how deep learning enhances our knowledge in the traditional machine learning and how we can get more benefits from it. All of these examples will be presented in the context of image recognition problem, and while on it, we will also see the use cases of other tools, such as OpenCV, OpenFace, etc.

In the main part of the talk, we will see that images of anime characters are limited by nature, since it totally depends on number of existing fan arts. In addition, 3D model (human face) cannot be applied directly in solving this problem since 2D model (anime character face) totally depends on the illustrator. Therefore, we will explore how we can utilize transfer learning for model training with small amount of dataset. Finally, we will build our own simple app with Sanic to serve our ready-built model for other users.

This talk will introduce the concept of deep learning, transfer learning, and how we can apply it to our own existing problems. In addition, we will present some alternative PaaS as a comparison to build a model from scratch.",Intermediate,Talk (30 minutes),"python, machine learning, deep learning, transfer learning, image recognition, Machine learning and data science"
Fun with Python and Kanji,"The presentation will have approximately 3 parts. First, I will briefly talk about what ideograms are, what they look like, and most importantly, how they can be broken down into smaller, finite components that are sometimes called radicals [1]. I will show how this can be done with Python and several existing datasets. The first part can take around 5 minutes.

[1] https://en.wikipedia.org/wiki/Radical_%28Chinese_characters%29

Next, I'll give a basic introduction to graph theory. Nodes, edges, graphs/digraphs, connected components, centrality, etc. I will show examples using networkx, a common Python library for working with graphs. The second part can take around 5 minutes.

Using the material from the previous sections, I will frame the ideograms as a graph problem. Each ideogram is a node, and edges connect ideograms that share common radicals. I will use this graph demonstrate interesting, helpful, and sometimes amusing relationships between the ideograms. For example, what are the most similar (difficult to distinguish) ideograms? What are most commonly occurring radicals? How does changing a radical affect the ""meaning"" of an ideogram? The third part will take around 10 minutes.

I will conclude with a summary and some potential future work.",All,Talk (30 minutes),Python in education science and maths
HomeSecurity with Python,"ホームセキュリティと言われてぱっと思いつくのは「鍵」「防犯カメラ」「盗難防止アラーム」などがセオリーでしょう。

しかし、`鍵はスマートロックを買えば良いし、他も探せば売ってるから買えば良い。`という答えが出てしまえばこのトークはココで終了です。

私も色々とIoTガジェットを物色しましたが、発展途上の為か`かゆい所に手が届かない`という部分が目立つように感じました。

このトークでは

* AWS
* RaspberryPi

といったオーソドックスなプラットフォームを軸に

* IoTの身近な活用事例
* 自宅のセキュリティをPython x IoTで構築する
* かゆいところに手が届く機能は実装できるか
* 技術・時間・予算の関係上実装するのが難しいもの
* 取得したデータをWebで可視化、コミュニケーションツールでの活用する方法

等を実例を元に解説します。

尚、話さない項目は以下になります。

* IoTのふか〜い話
* 機械学習などを用いた応用術",Beginner,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Python libraries extending and embedding python in hardware"
How to Data Wrangling? Tips for using python libraries for big-data analysis including scikit-learn.,"I would like to talk about the below topics relating to algorithms for data analysis. 

My talk assumes the audience are intermediate Python users or professional data analysts. 

1.	LOGISTIC REGRESSION
I would like to explain about SAGA algorithm first. The SAGA algorithm, which is faster than other algorithms, is implemented in scikit-learn recently. 

2.	SVM
The SVM methods are algorithms which are known as very slow (e.g. O(n_samples2∗n_features)). Here, I would like to present a few methods and packages for faster SVM analysis (i.e. Stochastic Gradient Descent / ThunderSVM / LiquidSVM)

3.	CLUSTERING
The DBSCAN algorithm is popular recently, therefore I will discuss about it and other relating algorithms (e.g. HDBSCAN, Minibatch, GMM, affinity propagation clustering, etc.) 

4.	Random Forest
The method combining Random Forest with Boosting is called XGBoost. Microsoft recently developed the library called LightGBM which is faster than XGBoost. I will explain about it for our audience.
",Intermediate,Talk (30 minutes),"Machine learning and data science, Best practices, Python libraries extending and embedding python in hardware"
Integrate Full-text Search service with Django,"本セッションでは、全文検索システムである Elasticsearch をプロダクトに導入するうえでの課題やプラクティスについて発表します。発表する内容は、株式会社SQUEEZEで Django REST Framwork をベースに実装されたプロダクトに Elasticsearch を組み込んだ実例と経験を元にしています。

## 検索機能をサービス指向で設計する

情報も採用事例も多い Elasticsearch ですが、稼働中のプロダクトに導入する場合、どのような単位で検索機能を実現していくかという点が課題になります。本セッションでは、Elasticsearch による検索機能をビジネス要件に合う「検索サービス」として定義する方法を提案します。これが1つ目の Agenda です。

## よりよいデータの同期を目指して

2つ目の Agenda はデータの同期です。稼働中プロダクトの場合、サービスのデータは既に Relational Database で管理されています。既存データを Elasticsearch にどのように同期するか、あるいは同期するべきなのかという点はしばしば課題になります。本セッションでは、この課題へのソリューションとしてバッチ処理 + リアルタイム処理のハイブリッドな同期方法を提案します。

## Elasticsearch を Python / Django から利用する

Django REST Framework で構成された Web アプリケーションから Elasticsearch を利用するには、どのような方法があるでしょうか。Elasticsearch のもつ豊富な Query Pattern をどこまで活用できるでしょうか。本セッションでは、全文検索システムに期待される柔軟性を確保しつつ、検索サービスを RESTful API の 1つとして実装するためのいくつかの Tips を共有します。",Intermediate,Talk (45 minutes),"Python, Elasticsearch, Django"
Interactive Network Visualization using Python 〜 NetworkX + BokehでPEPの参照関係を可視化する,"# 目的 ：このセッションを聞くと何が得られるの？
- Pythonでグラフ構造のインタラクティブな可視化を実現する手段のひとつとして、NetworkXとBokehを組み合わせる方法を紹介します。

# 動機：なぜ、この発表をするの？
- SNSの友達関係や論文の引用関係など、世の中には何かと何かの「つながり」の構造がたくさん存在します。このようなグラフ構造（ネットワーク構造）を可視化するライブラリやツールは各種ありますが、普段Python を使っている立場からすると、前処理から可視化までPythonで一気通貫できると嬉しいものです。
- Pythonでグラフ構造を扱えるライブラリ・NetworkXは、昨年2017年に約7年ぶりのメジャーバージョンアップをしましたが、現在市販されている書籍では最新バージョンを扱った紹介例があまりありません。
- また、インタラクティブな可視化ライブラリであるBokehは、昨年リリースされたバージョン0.12.7でグラフ構造をサポートするようになりましたが、これも公式サイト以外になかなか日本語の情報がない状況です。
- 本セッションでは、NetworkXとBokehを使った可視化のノウハウをコードを交えながら共有します。

# アウトプット: 具体的に、どんなものが作れるようになるの？
NetworkXとBokehを組み合わせることで、以下のようなWebページを作れるようになります。   
[DEMO(動画)](https://youtu.be/tIRxJxiOrGA)   
※ 画面は2018年1月時点のプロト作成中の画面であり、実際のセッションで紹介する最新版とは異なる可能性があります。",Beginner,Talk (30 minutes),Machine learning and data science
Interactive Python Dashboards with Plotly and Dash,"Before We talk about Plotly and Dash, We start with the question of what libraries already exist to visualize data with Python.
1. Matploltlib
Matplotlib is the kind of grandfather of all data visualization libraries in Python. It was modeled after Matlab and have similarities syntax with Matlab. You can create almost any plot type, but it is going to be for static image files.
2. Seaborn
Seaborn actually using Matplotlib on the back end. It designed to create a nice looking statistical plot. Seaborn has cleaner syntax and you can really do nice plots in one line, but once again it is only for static image files.
3. Plotly
Plotly is the general data visualization library focused on interactive visualizations. Plotly has libraries for Javascript, React, R and Python, but the most popular version is the Python library. How is Plotly different than Matplotlib and Seaborn? Plotly creates interactive plots as HTML file. You can actually do things like zoom in, select, and hover. But We can't really be connected with changing data sources.
4. Dash
Dash is an open source library from the same creator of Plotly that allows you to create a full dashboard with multiple components, interactivity, and multiple plots. Instead of creating HTML file, Dash will produce a dashboard web application. You can then visit and interact with this dashboard in the web application.

So,  in this talk, we will look at how we create a full web dashboard web app using Dash. To fully understand Dash, we should first get comfortable with Plotly",Intermediate,Talk (30 minutes),"Data, Dashboards, React, Flask, Pandas, NumPy, Data Analysis, Business Intelligence, Data Science, Machine learning and data science, Web programming including frameworks (Django / Flask / Pylons etc.)"
"Interpretable Machine Learning, making black box models explainable with Python!","Ever wonder how a Machine Learning model makes predictions? In particularly a 256-layers deep neural network! How does it distinguish a corgi from a husky puppy? Come to my talk and I'll enlighten you by demystifying black-box ML models with some Python magic!

Machine learning models are increasingly complex due to the advancements of model architectures such as deep neural networks and ensemble models. While these sophisticated models have achieved higher accuracy, they are like black boxes which how the decision was made couldn’t be fully understood. There are potential risks of misrepresentation, discrimination or overfitting. Furthermore, the need of interpretability is crucial to gain the trusts of regulators and users towards ML models. 

In this talk, I will first address the some common questions: What makes a model interpretable? Is non-linear, non-monotonic model explainable? What’s the difference between global vs local interpretability?
I will introduce several techniques that make black-box models more interpretable. Follows by walkthrough of a Python library that could introduce interpretability within few lines of codes. Real-world examples of interpretable ML models on various applications such as computer vision, natural language would also be showcased. 
",Beginner,Talk (30 minutes),"Machine learning and data science, Best practices, machine learning, deep learning, python"
Jupyterで広がるPythonの可能性,"### 【基本】Jupyterの基本機能をおさらいする

Jupyter Notebookとはどのような機能をもっているのか、効率的に操作するにはどうすればよいかなど、改めて復習します。

### 【厳選】マジックコマンド、Jupyter拡張機能

定番のものからあまり知られていないけど便利なものまで、活用したい機能を一挙に紹介します。

### 【描画】IPython.displayを使いこなす

HTMLや動画など、さまざまな形式で出力できます。テンプレートエンジンなどを活用すると更に便利になります。

### 【対話】ipywidgetsでUIを実装する

UIを実装することでデータの可視化などの利便性がよくなります。

### 【発表】Jupyterでプレゼン資料を作るためのTips

デフォルトのスライド機能だけではなく、拡張機能などを使いこなすことでスライドの表現力が向上します。Jupyterでプレゼンを行うに当たって、さまざまなテクニックを紹介します。

### 【公開】Jupyter Publishing

Notebook形式(ipynb)のまま、Webサイトやドキュメントが作成できます。いくつかのツールを紹介しつつ、ブログや執筆にJupyterを使う方法を紹介します。

### 【共演】便利なライブラリ、関連サービス

サードパーティ製のパッケージをインストールすることで、更に便利な機能や用途の幅が広がります。  
Colaboratoryやbinderなど、Jupyterに関連した便利なサービスを厳選して紹介します。",All,Talk (30 minutes),"Jupyter, data sicence"
JVM上で動くPython3処理系cafebabepyの実装詳解,"# cafebabepyというJVM上で動くPython3処理系の実装詳解
cafebabepyというJVM上で動くPython3処理系を実装しています。
本セッションではPython3の言語仕様に悪戦苦闘し、どのように実装していったのかをお話します。
cafebabepyを実装していく中で、言語実装の苦しさや楽しさ、そしてPythonの美しい言語設計、処理系がどのように動いているかについてを共有をしたいと考えております。
cafebabeとはJavaクラスファイルのマジックナンバーです。 JVM上で動くJythonは2.7(2015年)で更新が止まっているため、じゃあ作るか！ というのが実装している理由です。

## 基本的な流れ
1. PythonのAST(抽象構文木)を作成する話。
1. ASTから実際に処理を実行する話。
1. PythonとJavaの境界線の実装。
1. 実装における躓きポイント。
1. Pythonのちょっとだけ深い言語仕様。
 
上記以外に関係のある小ネタがあれば入れます。  ",Intermediate,Talk (45 minutes),Anything else basically which doesn’t really fall into the types of topics above
Make a Drone using RaspberryPi and Google VoiceKit by Python,"### 1.Self-introduction
I will talk introduction.  

### 2.About Drone
I will explain the drones easily this section.   

### 3.What you can do with Drone
Explain what you can do with the drones, what you can do with what you created this time.  

### 4.Description of RaspberryPi and Google VoiceKit
I will tell you my tools.  

### 5.How to made it
I will tell you how to produce the aircraft.  

### 6.Python code
I will talk about the description of the library I used.  

### 7.Flying demonstration:
I will try this time.  ",All,Talk (30 minutes),Python libraries extending and embedding python in hardware
Migrating from Py2 application to Py3: first trial in MonotaRO / Python2 から Python3 への移植: MonotaRO での取り組み,"In this talk, I'll share my story of migrating Py2-based software to Py3 in MonotaRO.
MonotaRO is fast-paced growing EC company of industrial supplies.
At startup, MonotaRO employed Python 2 as main language to develop EC website as well as backend enterprise system.
Now we have many web-based apps or batches works on Python 2.7.
With upcoming total retire of Py2 in 2020, MonotaRO started migrating existing core application to Py3.
The talk will include how we tried Py3 migration, what happend: troubles, findings and gifts and current status of migration.

最初に、MonotaRO における Python の利用状況について簡単に紹介します。
MonotaRO は 10年以上にわたって Python2 ベースで自社システムの開発を続けてきており、その中で使われている技術要素にどのような課題が生まれているか、Python3 化にどう影響しているかを話します。

次に、最近のプロジェクトで実施された既存ソフトウェアの Python3 への移行の取り組みについて話します。Python2 と 3 の間での非互換性からどのような改修を行う必要があったか実例に基づいて紹介します。

最後に、現在の移行状況と見通し、移行範囲を拡大していく上でどのように作業の効率化や品質担保を図っていくか、移行によって得た知見をお話しします。
",All,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Anything else basically which doesn’t really fall into the types of topics above"
niconicoにおけるコンテンツレコメンドの取り組み,"# niconicoにおけるコンテンツレコメンドの取り組み

本トークでは、niconicoサービスを支えるレコメンダーの開発および運用から得られた知見をご紹介します。

大きく分けて2つの内容から構成されます。

## レコメンダーの開発・運用方法

1つ目のレコメンダーに関する内容では、データの収集、機械学習のための前処理、機械学習それ自体などが含まれます。
キーワードとしては、

- Spark
- scikit-learn
- Jubatus

などが挙げられます。

niconicoを支えるためのレコメンダーがどのように作られているのか、が焦点となります。

## 大規模なリクエストを捌くシステムの開発・運用方法

2つ目は、1で作成したレコメンダーをniconicoサービス内で本番運用するシステムの開発や運用方法について紹介します。
キーワードとしては、

- Tornado
- Docker
- kubernetes
- Ansible
- DataDog

などが挙げられます。

Pythonを利用して、どのように

- 大規模なリクエストを処理し、ユーザーに価値を届けているのか
- 機械学習の""鮮度""を保っているのか
- 効率的な開発サイクルを回しているのか

など、ニコニコサービス内での知見を共有します。",All,Talk (45 minutes),"Web programming including frameworks (Django / Flask / Pylons etc.), Machine learning and data science, Project case studies"
