title,description,tags,location,bio,organization,shirt_size,notes
Djangoのセキュリティ対策詳解,"Djangoはセキュリティに関して、本セッションでは、次に示す主要な4つの攻撃手法に対してDjangoが行っている対策を実演を交えて解説します。

* クロスサイトリクエストフォージェリ (CSRF)
* クロスサイトスクリプティング (XSS)
* SQLインジェクション
* クリックジャッキング

これらの攻撃がどのように実行されるのか、どのように防げるのか、Djangoの実装はどうなっているのかを解説します。","Djagno, Security",,,,,"実際に4つの攻撃手法に対する脆弱性を含めた、デモアプリケーションも用意しています。
本番ではライブコーディングや実演を含めて解説したいので、マイクスタンドもしくはピンマイクをお願いしたいです。"
Effective Python in Python 3.7,"# Effective Python in Python 3.7

Talkの短縮版で、以下から抜粋する。

- Python 2.7は EOLへ、これからはPython 3.7の時代（項目1）
- 辞書やタプルの代わりにData Class （項目22）
- メタクラスを使わないメタプログラミング（項目32, 33, 34）
- 並列と並行、そして非同期（項目41）
- docstring、そしてtype hints（項目49）
- pyvenvの廃止、pipenv（項目53）
- Build-in Breakpointの登場（項目57）",Best practices,,,,,"## 備考

- 『Effective Python』は査読者として関わりました。

## 過去の発表履歴

### 2016年

- 「PyConJP で感じる私の成長」PyCon JP 2016 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/pyconjp-degan-zirusi-falsecheng-chang) [Youtube](https://youtu.be/O1-9Yv9cB8Q?t=16m24s)

### 2017年

- 「Effective Python in Python 3.6」 Python 3.6 Release Party Lightning talk [Slide](https://speakerdeck.com/hayaosuzuki/effective-python-in-python-3-dot-6)

- 「How to Write Functions in Python」PyCon JP Reject Conference 2017 [Slide](https://speakerdeck.com/hayaosuzuki/how-to-write-functions-in-python)

- 「Respect the Built-in Names」PyCon JP 2017 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/respect-the-built-in-names) [Youtube](https://youtu.be/cUewj2kRrbk?t=13m13s)

- 「技術書査読・校正の現場から」BPStudy #123 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/ji-shu-shu-cha-du-xiao-zheng-falsexian-chang-kara)

### 2018年

- 「レガシーDjangoアプリケーションの現代化」DjangoCongress JP 2018 [Slide](https://speakerdeck.com/hayaosuzuki/a-modernization-of-legacy-django-based-applications)

## 技術書の査読

- 『[Effective Python](https://www.oreilly.co.jp/books/9784873117560/)』オライリージャパン 2016年1月
- 『[アルゴリズムクイックリファレンス 第2版](https://www.oreilly.co.jp/books/9784873117850/)』オライリージャパン 2016年12月
- 『[初めてのPHP](https://www.oreilly.co.jp/books/9784873117935/)』オライリージャパン 2017年3月
- 『[Effective Debugging](https://www.oreilly.co.jp/books/9784873117997/)』オライリージャパン 2017年6月
- 『[スラスラわかるPython](http://www.shoeisha.co.jp/book/detail/9784798151090)』翔泳社 2017年8月
- 『[PythonとJavaScriptではじめるデータビジュアライゼーション](https://www.oreilly.co.jp/books/9784873118086/)』オライリージャパン 2017年8月
- 『[初めてのPerl 第7版](https://www.oreilly.co.jp/books/9784873118246/)』オライリージャパン 2018年1月
- 『[Head First Python 第2版](https://www.oreilly.co.jp/books/9784873118291/)』オライリージャパン 2018年3月
- 『[Pythonデータサイエンスハンドブック](https://www.oreilly.co.jp/books/9784873118413/)』オライリージャパン 2018年5月"
Effective Python in Python 3.7,"# Effective Python in Python 3.7

- Python 2.7は EOLへ、これからはPython 3.7の時代（項目1）
- 辞書やタプルの代わりにData Class （項目22）
- メタクラスを使わないメタプログラミング（項目32, 33, 34）
- 並列と並行、そして非同期（項目41）
- docstring、そしてtype hints（項目49）
- pyvenvの廃止、pipenv（項目53）
- Build-in Breakpointの登場（項目57）",Best practices,,,,,"## 備考

- 『Effective Python』は査読者として関わりました。

## 過去の発表履歴

### 2016年

- 「PyConJP で感じる私の成長」PyCon JP 2016 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/pyconjp-degan-zirusi-falsecheng-chang) [Youtube](https://youtu.be/O1-9Yv9cB8Q?t=16m24s)

### 2017年

- 「Effective Python in Python 3.6」 Python 3.6 Release Party Lightning talk [Slide](https://speakerdeck.com/hayaosuzuki/effective-python-in-python-3-dot-6)

- 「How to Write Functions in Python」PyCon JP Reject Conference 2017 [Slide](https://speakerdeck.com/hayaosuzuki/how-to-write-functions-in-python)

- 「Respect the Built-in Names」PyCon JP 2017 Day1 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/respect-the-built-in-names) [Youtube](https://youtu.be/cUewj2kRrbk?t=13m13s)

- 「技術書査読・校正の現場から」BPStudy #123 Lightning Talk [Slide](https://speakerdeck.com/hayaosuzuki/ji-shu-shu-cha-du-xiao-zheng-falsexian-chang-kara)

### 2018年

- 「レガシーDjangoアプリケーションの現代化」DjangoCongress JP 2018 [Slide](https://speakerdeck.com/hayaosuzuki/a-modernization-of-legacy-django-based-applications)

## 技術書の査読

- 『[Effective Python](https://www.oreilly.co.jp/books/9784873117560/)』オライリージャパン 2016年1月
- 『[アルゴリズムクイックリファレンス 第2版](https://www.oreilly.co.jp/books/9784873117850/)』オライリージャパン 2016年12月
- 『[初めてのPHP](https://www.oreilly.co.jp/books/9784873117935/)』オライリージャパン 2017年3月
- 『[Effective Debugging](https://www.oreilly.co.jp/books/9784873117997/)』オライリージャパン 2017年6月
- 『[スラスラわかるPython](http://www.shoeisha.co.jp/book/detail/9784798151090)』翔泳社 2017年8月
- 『[PythonとJavaScriptではじめるデータビジュアライゼーション](https://www.oreilly.co.jp/books/9784873118086/)』オライリージャパン 2017年8月
- 『[初めてのPerl 第7版](https://www.oreilly.co.jp/books/9784873118246/)』オライリージャパン 2018年1月
- 『[Head First Python 第2版](https://www.oreilly.co.jp/books/9784873118291/)』オライリージャパン 2018年3月
- 『[Pythonデータサイエンスハンドブック](https://www.oreilly.co.jp/books/9784873118413/)』オライリージャパン 2018年5月"
Find Vulnerability on Your Python Code,"Find vulnerability on development stage should be implemented to find vulnerability on earlier stage (development stage) on Software Development Life Cycle (SDLC). Most of vulnerability found on final stage of SDLC through penetration testing. Security issues were accidentally created on design and development stage, meanwhile developer couldn't identify the vulnerability because they should wait until application passing through penetration testing, which mean on final stage. If vulnerability figured out by developer earlier, they can realize and fixed the vulnerability without waiting till penetration testing.

Static Application Security Tools (SAST) can be used to find vulnerability on development stage. SAST is a set of technologies designed to analyze application source code, byte code and binaries for coding and design conditions that are indicative of security vulnerabilities""(gartner.com).

This topic will cover how to find vulnerability using free/open source SAST. It will cover SAST which has capability to scan python. SAST usage will demonstrate with several scenario, CLI usage and Jenkins integration. Jenkins is open source CI/CD tools commonly used for supporting Devops.
","python security, python",,,,,"so, how this topic is relevant to python developer audience ? because this topic will cover how to find security issue using free/open source Static Aplication Securtiy Testing (SAST) tools which specially created for python programming language. This topic will cover demo on CLI usage and jenkins integration

So that, python developer will be able to find vulnerability on their python code and make secure code without waiting for penetration test result."
GitLabの肩に乗るPythonパッケージングとデプロイ,"GitLabはGitHubやBitBucketと同じく、ソースコードの共有が可能なサービスです。
ソースコード管理としての機能については大きな差はありません。
その一方で、GitLab-CIやGitLab RegistryといったDevOpsなどの実現に便利なツールを多数自前で持ち、
**プロジェクト進行（課題管理・テスト・デプロイ）を円滑に進めるプラットフォーム**としての側面を持っています。

Pythonパッケージは、ソースコードとインストールできる仕組みが最低限必要ですが、
ドキュメントやデモなどがあるとより使われやすくなるかと思います。

GitLab.comという巨人の方に乗っかり、

* 自動でパッケージングする
* 最小限のトリガーでPyPIへリリースする
* ついでにデモサイトを作り
* ドキュメントを公開する

流れを紹介します","System administration, Packaging",,,,,"## 話す予定のもの

* [GitLab.com](https://about.gitlab.com/)
    * GitLab本体のサイト
* [GitLab-CI](https://about.gitlab.com/features/gitlab-ci-cd/)
    * GitLabに内包されるCI/CDツール
    * GitLab Runnerについても触れる予定

## 話さない予定のもの

* パッケージングの作法など

## 主なターゲット

* Pythonパッケージを公開している人、公開してみたいと思っている人
    * そして、なるべく手間をかけずに実現したいと思っている人
* 「GitLabがどんなことを実現できるのか」を知ってみたい人

"
Interactive Network Visualization using Python 〜 NetworkX + BokehでPEPの参照関係を可視化する,"# 目的 ：このセッションを聞くと何が得られるの？
- Pythonでグラフ構造のインタラクティブな可視化を実現する手段のひとつとして、NetworkXとBokehを組み合わせる方法を紹介します。

# 動機：なぜ、この発表をするの？
- SNSの友達関係や論文の引用関係など、世の中には何かと何かの「つながり」の構造がたくさん存在します。このようなグラフ構造（ネットワーク構造）を可視化するライブラリやツールは各種ありますが、普段Python を使っている立場からすると、前処理から可視化までPythonで一気通貫できると嬉しいものです。
- Pythonでグラフ構造を扱えるライブラリ・NetworkXは、昨年2017年に約7年ぶりのメジャーバージョンアップをしましたが、現在市販されている書籍では最新バージョンを扱った紹介例があまりありません。
- また、インタラクティブな可視化ライブラリであるBokehは、昨年リリースされたバージョン0.12.7でグラフ構造をサポートするようになりましたが、これも公式サイト以外になかなか日本語の情報がない状況です。
- 本セッションでは、NetworkXとBokehを使った可視化のノウハウをコードを交えながら共有します。

# アウトプット: 具体的に、どんなものが作れるようになるの？
NetworkXとBokehを組み合わせることで、以下のようなWebページを作れるようになります。   
[DEMO(動画)](https://youtu.be/tIRxJxiOrGA)   
※ 画面は2018年1月時点のプロト作成中の画面であり、実際のセッションで紹介する最新版とは異なる可能性があります。",Machine learning and data science,,,,,"- talk: 日本語
- slide: 日本語, 英語併記
"
Introduce syntax and history of Python from 2.4 to 3.7,"I think we began to use Python in some production systems at 2.3 or 2.4. I think Python 2.4 had enough functionality to build any system. Many tools ware created and used. 

Python 2.4 was released nearly 15 years ago. Since then Python has been steadily evolving.
Although it is possible to create a system with only Python 2.4, it is necessary to know the latest Python trends in order to write code that is better, more maintainable, and more performance-oriented.

There are also features and grammar in the web knockout that are often overlooked, not only by new python users, but also by seasoned Python veterans. 
I will introduce those features and grammar that I think are important while comparing the grammar and functions incorporated in Python 2.4 and now.","Python, Beginner, Intermediate",,,,,"本トークは、PyCon APAC 2018 SGやPyCon TH 2018で行うトークと同じものです。資料は英語で書きます。トークは日本語でも英語でもどちらでも構いません。
内容はこの資料とほぼ同等になります。 https://speakerdeck.com/terapyon/introduce-syntax-and-history-of-python-from-2-dot-4-to-3-dot-6-pycon-thailand-2018

For example:

The below same means code.
Python2.4

```
    f = open(""filename.txt"", ""r"")
    data = f.read()
    f.close()
```

Python2.6 +

```
    with open(""filename.txt"", ""r"") as f:
        data = f.read()
```

Python2.4

```
    from datetime import date
    print ""Today: %s"" % date.today()
```

Python 2.6 +

```
    from datetime import date
    print(""Today: {}"".format(date.today()))
```

Python3.6 +

```
    from datetime import date
    print(f""Today: {date.today()}"")
```
## Target

- Who want to know the new syntax of Python
- Who want to learn the history of Python

## Outline

- Self introduction (2min)
- The history of Python by release date (3min)
- Important changes in each versions between Python 2.4 and Python 3.6 (7min)
  - Python 2.4
  - Python 2.5
  - Python 2.6
  - Python 2.7
  - Python 3.0
  - Python 3.1
  - Python 3.2
  - Python 3.3
  - Python 3.4
  - Python 3.5
  - Python 3.6
  - Python 3.7
- To compare the old style with the new style for the syntax and the structure (15min)
  - “”.join() vs “”.join([])
  - import () Multi-line Imports
  - list.sort vs sorted(list)
  - Conditional Expressions
  - with
  - %s vs str.format vs f-string
  - except Exception, e vs except Exception as e
  - print statement vs print() function
  - / vs //
  - dict Comprehensions and more
  - OrderedDict vs default dict
  - enum
  - @ operator
  - os.listdir() vs os.scandir() 
  - yield from
  - Coroutines with async and await syntax
  - Asynchronous Generators
  - pathlib
  - secrets module
- Q&A (3min)
"
Kubernetsを使ってクローリング/スクレイピング環境の構築してみたお話,"# どういったものを使うか
- Scrapy
- Kubenetes
- Docker
- ElasticSearch
- BigQuery
等を使う予定

# Kubernetsをつかった構築例
- GKEかminikube

# 感想等
- 作ってみた感想

# 注意点
- 開発は個人範囲の利用で行っています．そのため企業で活用するためには不十分かもしれません","Scraping, crawling, Scrapy",,,,,"Scrapyが出てきたことによってスクレイピングは格段にしやすくなった．しかしデータの保存等を考えると少し面倒である．
それらをDockerコンテナで管理できるとより良いスクレイピングができるのではないか，またデータを管理する手間が少しでも減るのではないかと思い作ってみようと思った

30分でいけるかわからないが頑張ろうと思う
"
"Learning how to go fast, Lessons from the OpenAI Retro Contest","In this talk I'll go through what I learned in participating in the Open AI Retro Contest. First I'll talk about the retro gaming environment, Gym Retro and how that is used to train the agents. Next I'll outline three of the baseline reinforcement learning techniques that were used as baselines in in evaluating the contest's difficulty.  Finally, I'll discuss the contest winners, what their strategies were and how you can get started training your own models to play retro games. ",Machine learning and data science,,,,,"I am somewhat new to the python space, but am excited to share what I have learned with the community. Although I did not win the contest, I was awarded a prize for best supporting tool, and I created many blog posts describing the contest and their agents, such as this [one](https://medium.com/@tristansokol/making-fun-visuals-history-maps-and-other-tool-improvements-eb5ffe187fd3?source=user_profile---------6-------------------). 

I have spoken in Japan [before](https://www.youtube.com/watch?v=INuC_FztCBc) and would love the opportunity to do so again. My employer will likely cover all of my expenses. "
NetworkXで広がるPythonの楽しみ方 〜 一番「重要」なPEPはどいつだ!?,"「ネットワーク分析の観点でPEPを色々な角度から楽しもう! 」という企画です。
ネットワーク分析とは、SNSの友達関係や論文の引用関係など、「何か」と「何か」の関係構造を探るために使われる手法です。本セッションでは、現在(※) 450以上あるPEP文書から「どのPEPがどのPEPを参照しているか」その参照関係のデータを抽出し、可視化・指標を算出した結果を紹介します。   
また、セッションを聞いた方が実際に手元でデータを確認して楽しめるよう、PEPの参照関係ネットワークをインタラクティブに可視化した現在開発中のWebページを紹介します。  
(※) 2018年6月現在

+ PEPとは 〜 数字で見るPython Enhancement Proposal
+ ネットワーク分析とNetworkX
+ 「重要」ってなんだろう？　
    - 入次数で見てみよう: 一番他のPEPから参照されているPEPはどいつだ!?
    - 出次数で見てみよう: 一番他のPEPを参照しているPEPはどいつだ!?
    - PageRankで見てみよう: Webページのランク付け！
   
など
",Anything else basically which doesn’t really fall into the types of topics above,,,,,"- talk: 日本語
- slide: 日本語, 英語併記
"
PandasのDataFrameをオブジェクト指向っぽく扱えるDataFrame Mapperを作った,,"Pandas, Python",,,,,
PEPってなんだろう。PEPについて調べてみた,"## PEPのワークフロー
- PEP1
- JavaのJCPと比べてみる
- グイドさんが独裁しているの？

## 有名なPEP
- PEP0
- PEP8
- PEP20

## PEPの種類
## 日本人のPEPへの貢献
## PEPを読んでみよう",,,,,,"LTでしたが、PEPの決め方とかを調べて発表しました。
結構楽しかったので、更に書き足して発表いたします。

https://gist.github.com/okusama27/d807842288d85af6fea7ea809964cdfe

発表はJava女子部でやったので、Pythonの基本的な話が混ざっていますが、こちらは省略します。

楽しいPEPはこれから調べます。"
PyCharm逆引き辞典,"多くのプログラマにとってエディタが大事な仕事道具であるように、PythonユーザにとってJetBrains製のIDE「PyCharm」は右腕と言っても過言ではありません。
しかし、高機能なIDEであるがために単なる補完が優秀なPythonエディターとして使っている人も少なくないと思います。

時間の許す限り、PyCharmで最低限必要な設定から、使いこなすと便利な機能、ニッチな機能までを紹介します。

* Professional版の導入 (学生は無償で使える!)
* 仮想環境の設定
* charmコマンド
* gitコマンド
* 差分を見る
* vim diffにPyCharmの差分表示を使う
* リファクタリング
* LiveTemplate(snippet)
* REST Client
* Databaseへの接続
* IdeaVim
* 画面分割
* ファイル検索(SearchEverywhere含む)",Programming tools,,,,,資料、トークともに日本語の予定です
PyCon 2018 Clevelandの参加体験を発表,"2018年5月に行われたPyCon(Clevelad)の参加について、参加の感想と現地の様子を以下の内容で話したいと思います。  
1.PyConUSに行くきっかけ。  
2.PyConUSに行ったルート。  
3.会場の様子。  
4.当時のプログラム紹介  
5.来年のPyConUS情報  
6.これからのPythonコミュニティに期待すること。",Anything else basically which doesn’t really fall into the types of topics above,,,,,"2018年5月に行われたPyCon(Clevelad)に参加した内容をお話しします。
アメリカの各地域のPyladiesのメンバーとの交流や、世界各地のPyladiesメンバーと交流したこと。
Pyladies Auctionに参加して楽しんだこと。英語をより勉強することによって道が開かれれること。
アジアからの参加者は、中国、韓国の方がいたが日本人は少なかった印象がある。
私が確認できたのは日本からの参加者は3人で、みんな自分自身を高めようと思っている人だった。
本場アメリカのPyConUSの模様を写真と体験談を元にLightningトークとしてご紹介したいと思います。
2019年も同じ場所Clevelandで行われるので、どのようなルートで行ったかなどを話し、これをきっかけに日本からも参加者が増えコミュニティがより活性化するのを期待します。"
PyLadies Handbookの翻訳活動,"**PyLadies Handbook** 翻訳への取り組みと、翻訳した内容の紹介を行います。

# PyLadies Handbookとは

PyLadies とは、世界中に存在するPythonistaな女性が集まるコミュニティです。
世界中にPyLadies リージョンコミュニティが存在しますが、「PyLadies」と名乗るにはいくつかの条件や規範などがあります。
そのうちの一つがこのPyLadies HandBookに則した運営を行い、PyLadies HandBookに則したコミュニティであること。
PyLadies に参加するにあたっての心構えや、コミュニティとして知っておいてほしいことがぎゅっとまとめられたものです。

http://kit.pyladies.com/

# 翻訳への取り組み
PyLadies Tokyo発足から4年目を迎えた今日この頃。新しい運営メンバーも新しいメンバーも急速に増えてきたことですし, 英語が苦手な方にもぜひ知ってもらおうと思い、今回の翻訳プロジェクトを発足しました。

## 取り組み
最初は、[PyLadies Tokyo 秋合宿 2017 ](https://pyladies-tokyo.connpass.com/event/64432/) から始まりました。
定期的に翻訳イベントを開催しています。",,,,,,"現在、3回の翻訳イベントの開催、GitHubページの整備を行っています。7月以降もイベントを翻訳が終わるまで月1回は開催していきます。

- [PyLadies Tokyo 秋合宿 2017 ](https://pyladies-tokyo.connpass.com/event/64432/) 
- [PyLadies Handbook 翻訳しNight 〜第2夜〜 ](https://pyladies-tokyo.connpass.com/event/72170/)
- [PyLadies Handbook 翻訳しNight 〜第3夜〜 ](https://pyladies-tokyo.connpass.com/event/89219/)"
pytestによるCIレボリューション,皆さんはPythonでユニットテストやCIツールを使いこなせているでしょうか？そういった悩みへの参考としてユニットテストやCIツールの概要や種類について解説をしてから、その中でもPytestを使った場合のメリットや開発プロセス全体への波及効果について発表します。,Programming tools,,,,,"アジェンダ案
=====

自己紹介
-----

来場者への質問
-----

* ユニットテストを使ったことある人
* CIツールを使ったことある人

Pythonで利用可能なユニットテスト、CIツール
-----

* ユニットテストの種類
* CIの種類

ユニットテスト
-----

*  ユニットテストの概要
*  pytestの概要
*  pytestの高度な機能

CIツール
-----

*  CIツールの概要
*  CIツールがクラウドやコンテナベースに進化していること
* CircleCIの概要
* CircleCIの高度な機能

かっこいいCIを行なっている他社事例
-----

参考文献など
-----

まとめ
-----

-----

参考実績
=====

* [PyCon JP 2016トーク発表「Blockchain for Pythonistas」](https://speakerdeck.com/abenben/blockchain-for-pythonistas)
* [書籍：Python Testing with pytest（翻訳中：翻訳レビュアー）](https://pragprog.com/book/bopytest/python-testing-with-pytest)

-----

関連タグ
=====

ユニットテスト、CI、pytest、CircleCI、クラウド"
Python astモジュール入門,"Pythonで書かれたソースコードを機械的に解析・修正・生成したいことがあります。

簡単なソースコードであれば、標準モジュールの `re` や `inspect` などで十分かもしれません。

ただ、それらでは難しい場合、Pythonの標準モジュール `ast` を使うのはいかがでしょうか。

astモジュールでは、PythonのソースコードからAST(Abstract Syntax Tree、抽象構文木)をPythonオブジェクトとして取得・処理できます。

また、型ヒントのようにPythonへ機能が追加されたとしても、ASTを元にした対応ができます。

この発表では、

* ASTとは
* Pythonのastモジュールとは
* ast.NodeVisitorを使ったソースコード解析
* ast.NodeTransformerを使ったソースコード変換

などを、実例を交えながら解説します。

なお、話さないこと（話せないこと）は以下です。

* Python astモジュールを使って、すごいツールを作って公開した話や経験","Programming tools, Standard library",,,,,"資料およびトークともに日本語です。

[DjangoCongress JP 2018](https://djangocongress.jp/)にスピーカーとして参加しました。([Django/WSGIミドルウェア入門](https://speakerdeck.com/thinkami/django-congress-jp-2018-talk))

アカウントなどです。

* [GitHub](https://github.com/thinkAmi)
* [はてなブログ](http://thinkami.hatenablog.com/)"
Python Changes My World!!〜独学で変わる世界〜,"## 経歴

- Software Engineer 3年目(2018年6月)
  - 社内にPythonistaはいない環境
- 2017年11月頃からPythonを趣味でスタート
  - [モザイクアート作ってみた](https://speakerdeck.com/ftnext/pillow-mosaic-art-nyumon)
- 2018年1〜3月機械学習案件
  - 機械学習のバックグラウンドがなく、社内に閉じていても解決しないと察し、勉強会でひたすら質問
- 2018年4〜6月FlaskでAPI開発
  - デプロイでハマりながらも、コミュニティの力を受け、Azureへのデプロイ方法を習得
- 2018年8月〜 Python独学でのアウトプットがきっかけとなり転職します！

## 独学でやったこと

自分の独学経験を整理して共有したいと思います。  
こういうことをやったらこうなりました。みなさんもやってみてはいかがですか、と主張するLTです。

- 自分が作りたいものをつくる(モザイクアート)
- 定期的にコミュニティに顔を出す
  - もくもく会
  - みんなのPython勉強会
- やったことをアウトプットする
  - みんなのPython勉強会のLTを目標に、独学を進める
  - うまくいかないことをアウトプットすると、答えてくれる人がいる(Twitter) 本当に感謝
  - ブログやLTなどのアウトプットがきっかけで転職の話が来た！",Community building and human interaction,,,,,大変恐縮ですが、技術的な話にはならない予定です。(おそらくエモい話に分類されるLTだと思います)
Pythonistaがオープンデータを活用したら地方活性化は狙えるか,"行政が提供しているオープンデータというのは、公共物が多い関係から活用すればかなりの利便性を見込めるはずです。

ただし、市職員はエンジニアではないですし、手作業でエクセルファイルを作成して「オープンデータです！」と言われても、
非正規化のデータがほとんどなのでエンジニアの活用意欲をparseの時点で削ぎ落とします。

そもそもオープンデータ、オープンデータといいますが、
行政はどのようなデータをどういった形で公開してるのかを知らない人も多いのではないでしょうか。

本LTでは私の現住所である長野市にどのようなオープンデータがあるか、
そしてそのデータ活用し、どうすればもっと盛り上がるか考察した結果を紹介します。",Anything else basically which doesn’t really fall into the types of topics above,,,,,"資料、トークともに日本語です。

発表者アカウントなど

* [Qiita](https://qiita.com/moonwalkerpoday)
* [twitter](https://twitter.com/moon_in_nagano)
* [github](https://github.com/jsl-takino)"
Pythonエンジニアになろう,"## 見習いPythonistaへの道のり

### Level0. Pythonとの出会い
- 経歴や興味について
- 数ある言語の中からPythonを選ぶ理由

### Level1. Pythonそのものの勉強
- 入門書について

### Level2. 言語以外の基本知識
- シェルやGitなど開発に必要な分野の勉強

### Level3. 何か作ってみる
- 読書に疲れたら、作って遊ぶ

### Level4. WEBを学ぶ
- アプリケーションを作る前にHTTPなどの基礎を学ぶ

### Level5. アプリケーションを作る
- アプリケーションを実際に作ってみる
- ユーザーとして触ってみる

### Level6. エンジニアになる
- 職を探す",Python,,,,,
Pythonでオリジナル言語を作ってみよう,"Pythonを使ったオリジナル言語の作り方に加えて、以前、作成したPPAPScript(https://github.com/ryo-ma/PPAPScript)の紹介をします。
PPAPScriptとは、世界的に有名となった「PPAP」の曲を元に作成したプログラミング言語です。皆さんも自分だけのユニークなオリジナル言語を作ってみましょう。

* オリジナル言語について
* PPAPScriptについて
* PLYの紹介",PLY,,,,,
Pythonで型を使ってみる,"* TypeHintの書き方
* チェックのかけ方
* サードパーティライブラリを含む場合の対処法",TypeHint,,,,,
Pythonで多重継承Mixin,"Pythonでは言語レベルでの多重継承がサポートされています。それゆえ、多重継承ができない言語等とは書き方が大きく異なります。さらに多重継承の動作は言語ごとに動作が異なり、PythonではPython特有の動作をします。
また多重継承と近いトピックとしてMix-inが存在します。（厳密にはPythonにはMix-inは存在しませんが）この機能は実開発でもバンバン使われているテクニックです。

このLTでは実際の実開発に照らし合わせ、多重継承の利便性、ハマりどころについて語ります。
実行可能なPythonコードを実行して実際の動作も追いながら説明します。

Python's ｍultiple inheritance is very unique than other ｍultiple inheritance supported languages.
I introduce Python's multiple inheritance good points and bad points.",Anything else basically which doesn’t really fall into the types of topics above,,,,,"実演に使ったコードはGithubリポジトリにて公開します。
I will publish on GitHub, later.
"
Pythonにおける関数ってなんだろう？,"# Pythonの関数ってなんだろう？
Pythonには関数があります。一方でメソッドもあります。この違いは何でしょうか？selfを書いたからメソッド？でも関数に見えるし…そしてそもそも__call__とは？<br>
はてさていったい関数とは何なのでしょうか？その謎をあきらかにすべく我々はPythonの奥地へ向かった。",Anything else basically which doesn’t really fall into the types of topics above,,,,,"# 本セッションについて
トークも資料も日本語です。

# 登壇経歴
1. PyCon JP 2017 LT Pythonが動く仕組み(の概要)
1. JJUG CCC 2017 Fall JVM上で動くPython処理系実装のススメ (<https://www.wantedly.com/companies/f-code/post_articles/92729>
1. ScalaMatsuri 2018 もしScala初心者がMonoidを投げ込まれたら (<https://2018.scalamatsuri.org/ja/candidates/YoshiakiShibutani_2/>
1. ScalaMatsuri 2018 アンカンファレンス JVM上で動く Python処理系を作ってるよ"
Pythonのデバッグ/プロファイルリング,"Python で デバッグ、プロファイリングをする時に、一度は触るであろう
pdbやcProfileを皮切りに効率良くデバッグ、プロファイリングをするための方法、
より良いツール/ライブラリ群の紹介をしたいと思います。主に扱うトピックは以下のようなことを考えてます。

- デバッグ&プロファイリング
- ボトルネックを見つける
- パフォーマンス改善Tips
- ライブラリ&ツールの紹介

Pythonプログラムを修正/改善する時に役立つツール/方法を一通り知ることができます。
",python,,,,,"デバッグに関しての去年良い発表があったので、プロファイリングに重きを置いて話そうと思います。

- デバッグ&プロファイリングとは

 - pdb
 - cProfile
 - timeit
 - PudB

- ボトルネックを見つける
 - RunSnakeRun
 - line_profiler
 - memory_profiler

- パフォーマンス改善Tips

 - CPUバウンド/IOバウンド
 - メモリの使用量を削減する
 - 並行処理
 - さらなる改善するためには?

- その他ライブラリ&ツール
 - Benchmarker 
 - django-debug-toolbar
 - PyCharm
"
pythonユーザーにとってのGraph DB,"今、世の中には、ネットワーク構造を持つデータが増えてきている。
例えば、SNSの人間関係・自然言語の構文情報・流通情報など。
それらを処理するためにはRDBでは重すぎるということで、
その解決策として、グラフデータベースがよく使用されている。

では、グラフデータベースと言って何が思い浮かぶだろうか。

JanusGraph？neo4j?それとも、今年GAになって話題のAWS Neptune？
人によってさまざまかと思う。
それぞれ、スケーラビリティ・速度・インターフェースなど比較要素はたくさんある。
しかし、それらの要素の前に重要なことが一つある。
私たちはpythonエンジニアだ。つまり、大事なことはpythonからどれほど使いやすいかということではないだろうか？

このセッションでは、各グラフデータベースをpythonから使う場合はどのように使うのか。
gremlinから扱うのか、それとも独自のライブラリを備えているのか。
または、それはpythonから使う際に使いやすいのか。
これらのような、pythonエンジニアにとってのグラフデータベースという観点で発表する。","GraphDB, data science",,,,,"# 目的
Pythonユーザーがグラフデータベースを使う敷居を下げること。

# 技術的な要件
Pythonで開発ができること
グラフデータベースとRDBの違いがわかること"
Scalable Video Encoder Service with Django on Budget,"# Background

Build e-learning platform on budget with small team is like mission impossible. That technical challenge strike me and my team (only 1 engineer actually) 2 years ago. Bloody iterations and dirty codes is inevitable. The biggest problem in the first time was video encoding system as we have no experience in this field. As time passed, we matured enough and build robust system to tackle the problem.

#  Overview

Video encoder is used by many services to ensure the video is playable to any devices. The most used video format is MP4 which can be used immediately in browser using html5 video player or any javascript available. We have to consider the video size also. So users can view video without throtling. 

We build a service (on budget!) that will copy mechanism of Youtube. Our service use Django Rest Framework as backend and ffmpeg as our low-level video encoder. As video encoder is expensive task, it will be running in different server on demand. Server we used for video encoding is CPU-optimized VPS that only booted when needed. As result it will significantly reduced cost of server without sacrificing performance!

# Results

We reduced our server cost 1/10 and no idle system when no need video encoding.","Web programming including frameworks (Django / Flask / Pylons etc.), Project case studies",,,,,"# Why me?

Small company that has only small pocket will appreciate any means to reduce their costs. Hopefully my experience will help reduce their cost and system design inspiration for future project.

日本語も話せますので、英語を話せない人にもわかりやすいように説明もできます。プレゼンテーションは英語で質問は日本語も対応という形です。"
